Symbol	Description
AABB.OB	Asia Broadband Inc
AABVF.OB	Aberdeen Intl Inc
AACAF.OB	Aac Tech Holdings
AACAY.OB	Aac Acoustic Tec ADR
AACH.OB	Aac Holdings Inc
AACS.OB	American Comm Solut
AACTF.OB	Act Aurora Ctl Tech
AAGC.OB	All American Gld Crp
AAGFF.OB	Aftermath Silver Ltd
AAGH.OB	America Great Health
AAGIY.OB	Aia Group Ltd
AAIGF.OB	Aia Group Ltd
AAIIQ.OB	Alabama Aircraft Industries Inc
AAINF.OB	Asiabasemetals Inc
AAIRF.OB	American Aires Inc
AAMAF.OB	Atlas Mara
AAMMF.OB	Almadex Minerals Ltd
AAMTF.OB	Armada Mercantile Ltd
AANNF.OB	Aroundtown Sa
AAPJ.OB	Aap Inc
AAPT.OB	All American Pet Company Inc
AASP.OB	All-Amer Sportpark
AASZF.OB	Atlantic Sapphire As
AATDF.OB	Aa Plc
AATP.OB	Agape Atp Corp
AATRL.OB	Amg Cap TR II
AATV.OB	Adaptive Ad Systems Inc
AAUKF.OB	Anglo American Ord
AAVMY.OB	Abn Amro Bank N.V. ADR
AAVVF.OB	Advantage Oil & Gas Ltd
AAVXF.OB	Abivax S.A.
AAWC.OB	Alexandria Advantage Warranty Company
AAXT.OB	Aamaxan Transport Grp Inc
ABAHF.OB	Abacus Health Products Inc
ABAKF.OB	Aberdeen Asia-Pc Inc
ABBAF.OB	Aberdeen Asian Income Fun
ABBRF.OB	Abraplata Resource Corp
ABBY.OB	Abby Inc
ABCAF.OB	Athabasca Minerals
ABCE.OB	Abco Energy Inc
ABCFF.OB	Abacus Mng & Expl Cp
ABCP.OB	Ambase Corp
ABCZF.OB	Abcam Plc
ABCZY.OB	Abcam Plc
ABEPF.OB	Abe Resources Inc
ABFRF.OB	Aberforth Smaller Companies Trust Plc
ABGOF.OB	Abengoa S.A.
ABILF.OB	Ability Inc
ABKB.OB	American Basketball
ABLT.OB	Amer Biltrite Inc
ABLZF.OB	Abb Ltd Zuerich
ABMBF.OB	Abcourt Mines Inc Cl
ABMC.OB	Amer Bio Medica
ABML.OB	American Battery Metals Corp
ABMRF.OB	Abn Amro Group NV Dep Receipts
ABMT.OB	Advanced Biomedical
ABNAF.OB	Aben Resources Ltd
ABPR.OB	Airborne Security and Protective Services Inc
ABQQ.OB	Ab International Group Corp
ABSCF.OB	Ab Science Paris Ord
ABSOF.OB	Abs-Cbn Hlds Dep Rcpt
ABSSF.OB	Airboss of America Corp
ABTI.OB	Alterola Biotech Inc
ABTO.OB	AB&T Financial Corp
ABTZY.OB	Aboitiz Equity Ventures Inc ADR
ABVC.OB	American Brivision Corp
ABVG.OB	Affinity Beverage Group Inc
ABWN.OB	Airborne Wireless Network
ACAN.OB	Americann Inc
ACAZF.OB	Acadian Timber
ACBCQ.OB	Albina Commty Bcp OR
ACBD.OB	Annabidiol Corp
ACBM.OB	Acro Biomedical CO Ltd
ACCA.OB	Acacia Diversified
ACCR.OB	Access Power Inc
ACCYY.OB	Accor S.A.
ACDSF.OB	Ascendas R E Inv TR
ACDVF.OB	Air Canada
ACEJF.OB	Acea S
ACEZ.OB	Ariel Clean Energy Inc
ACFL.OB	Amc Financial Holdings Inc
ACFN.OB	Acorn Energy
ACGBF.OB	Agricultural Bank
ACGBY.OB	Agricultural Bk Chin
ACGI.OB	Amacore Group Cl A
ACGX.OB	Alliance Creative Group Inc
ACHFF.OB	Arch Biopartners Inc
ACKAY.OB	Arcelik A S ADR
ACKDF.OB	Auckland Intl Ltd NZ
ACKRF.OB	American Creek Resources Ltd
ACLLF.OB	Atco Ltd Cl I NV CD
ACMC.OB	American Church Mort
ACMLF.OB	Ascom Holding Ag
ACMT.OB	Acmat Corp
ACNDF.OB	Ascendas India TR
ACNE.OB	Alice Consol Mines Inc
