class,volume_d,avvolume_d,p_change,day_range
1,414301,6305,0.403846154,0.475961538
1,73915,8084,0.074766355,0.08411215
1,855735,80073,-0.101851852,0.111111111
1,7440,2000,0.043478261,0.065217391
1,1282232,1403570,0.4768,0.664
1,36212,9714,0.05,0.1253
1,2673860,11633,0.775,0.9375
1,1388740,10827,2.066666667,6.5
1,1198290,10643,0.75074184,1.017804154
1,102930,6396,0.096181047,0.304101839
1,273638,4140,0.133333333,0.15
1,227503,10376,0.152808438,0.183958793
1,1561485,21429,0.366666667,0.466666667
1,175990,660,0.136666667,0.316666667
1,798993,19219,0.591836735,0.683673469
1,164529,16211,0.031007752,0.139534884
1,215787,2348,0.588888889,4.555555556
1,780690,2265,-0.116666667,0.15
1,1117512,47883,0.02,0.2
1,2892387,33240,-0.135,0.166666667
1,691040,28606,1.025316456,1.196202532
1,99440,8599,0.1,0.2
1,26285,26170,0.053571429,0.142857143
1,12977,21138,0.075,0.0875
1,148893,4524,0,0.021505376
1,60066,4205,-0.1,0.129333333
1,1711224,28009,0.32195122,0.365853659
1,222912,28443,0.37704918,0.37704918
1,30509,5443,0.057692308,0.057692308
1,520056,15087,1.400933956,2.202134757
1,1127910,25261,0.782608696,0.913043478
1,174269,2757,0.333333333,0.4
1,27090,13924,-0.011494253,0.034482759
1,379500,1750,0.774193548,0.8
1,143141,25927,0.028368794,0.085106383
1,110467,4286,0.107142857,0.25
1,826603,5616,11.5,23.05555556
1,11052925,1497081,0.625812906,1.251125563
1,1370781,8399,0.201680672,0.210084034
1,648053,7348,0.368181818,0.681818182
1,108561,1515,-0.004878049,0.048780488
1,283180,10171,0.076502732,0.081967213
1,342149,6013,-0.011363636,0.090909091
1,138037,5362,0.15,0.3375
1,3262750,187689,0.033333333,0.048333333
1,74786860,1579696,0.654166667,0.733333333
1,6786560,16375,0.142857143,0.207792208
1,191476,26809,0.041666667,0.05
1,210386,4624,0.1,0.11
1,170560,85811,0.28,0.4
1,75189099,130,0.055185185,0.540740741
1,773790,362942,0.089005496,0.12565535
1,10503941,109989,0.773333333,1
1,25631219,648270,0.525789474,0.582631579
1,1751799,95929,0.0646,0.0806
1,16639545,1066918,0.521333333,1.065333333
1,1949271,405360,0.258,1.083
1,39894750,993,0.852941176,1.058823529
1,19238500,27519731,0.349904398,0.401529637
1,527551,59543,0.182692308,0.221153846
1,463015,7601,0.076923077,0.092307692
1,5106400,1739296,1.06185567,2.092783505
1,2626650,1727,1.24137931,1.412413793
1,1572263,39113,0.330864198,0.343209877
1,13887718,40188,1.033333333,1.133333333
1,584908,11010,0.076923077,0.205128205
1,94031500,11255,1.259259259,1.918518519
1,211388,3805,0.433333333,1.066666667
1,12454200,1713,0.789473684,0.821052632
1,144676,12706,0.123809524,0.133333333
1,11266664,11132,-0.313043478,1.930434783
1,977360,16153,0.00330033,0.052805281
1,209426,10306,0.024390244,0.024390244
1,115940,4769,0.214285714,0.228571429
1,18189898,3744,0.553846154,1.215384615
1,3773970,1072110,1.533333333,1.653333333
1,405117,20977,0.066666667,0.1
1,8795245,72323,0.385357143,0.535714286
1,1745700,32580,0.15,0.166666667
1,75376,10800,0.2944115,0.319796346
1,274377,67851,0.148148148,0.148148148
1,28944,9670,0.625,1.25
1,276799,47418,0.042553191,0.106382979
1,1199646,1535,2.5,6.35
1,858659,39522,0.073809524,0.119047619
1,138168,1680,0.192156863,0.996078431
1,1002918,8484,0.163636364,0.218181818
1,17550,3448,0.055555556,0.077777778
