@relation PennyStockCompleteDataPrincipalComponents

@attribute ﻿class {0, 1}
@attribute volume_d numeric
@attribute avvolume_d numeric
@attribute p_change numeric
@attribute day_range numeric

@data
1,414301,6305,0.403846,0.475962
1,73915,8084,0.074766,0.084112
1,855735,80073,-0.101852,0.111111
1,7440,2000,0.043478,0.065217
1,1282232,1403570,0.4768,0.664
1,36212,9714,0.05,0.1253
1,2673860,11633,0.775,0.9375
1,1388740,10827,2.066667,6.5
1,1198290,10643,0.750742,1.017804
1,102930,6396,0.096181,0.304102
1,273638,4140,0.133333,0.15
1,227503,10376,0.152808,0.183959
1,1561485,21429,0.366667,0.466667
1,175990,660,0.136667,0.316667
1,798993,19219,0.591837,0.683673
1,164529,16211,0.031008,0.139535
1,215787,2348,0.588889,4.555556
1,780690,2265,-0.116667,0.15
1,1117512,47883,0.02,0.2
1,2892387,33240,-0.135,0.166667
1,691040,28606,1.025316,1.196203
1,99440,8599,0.1,0.2
1,26285,26170,0.053571,0.142857
1,12977,21138,0.075,0.0875
1,148893,4524,0,0.021505
1,60066,4205,-0.1,0.129333
1,1711224,28009,0.321951,0.365854
1,222912,28443,0.377049,0.377049
1,30509,5443,0.057692,0.057692
1,520056,15087,1.400934,2.202135
1,1127910,25261,0.782609,0.913043
1,174269,2757,0.333333,0.4
1,27090,13924,-0.011494,0.034483
1,379500,1750,0.774194,0.8
1,143141,25927,0.028369,0.085106
1,110467,4286,0.107143,0.25
1,826603,5616,11.5,23.055556
1,11052925,1497081,0.625813,1.251126
1,1370781,8399,0.201681,0.210084
1,648053,7348,0.368182,0.681818
1,108561,1515,-0.004878,0.04878
1,283180,10171,0.076503,0.081967
1,342149,6013,-0.011364,0.090909
1,138037,5362,0.15,0.3375
1,3262750,187689,0.033333,0.048333
1,74786860,1579696,0.654167,0.733333
1,6786560,16375,0.142857,0.207792
1,191476,26809,0.041667,0.05
1,210386,4624,0.1,0.11
1,170560,85811,0.28,0.4
1,75189099,130,0.055185,0.540741
1,773790,362942,0.089005,0.125655
1,10503941,109989,0.773333,1
1,25631219,648270,0.525789,0.582632
1,1751799,95929,0.0646,0.0806
1,16639545,1066918,0.521333,1.065333
1,1949271,405360,0.258,1.083
1,39894750,993,0.852941,1.058824
1,19238500,27519731,0.349904,0.40153
1,527551,59543,0.182692,0.221154
1,463015,7601,0.076923,0.092308
1,5106400,1739296,1.061856,2.092784
1,2626650,1727,1.241379,1.412414
1,1572263,39113,0.330864,0.34321
1,13887718,40188,1.033333,1.133333
1,584908,11010,0.076923,0.205128
1,94031500,11255,1.259259,1.918519
1,211388,3805,0.433333,1.066667
1,12454200,1713,0.789474,0.821053
1,144676,12706,0.12381,0.133333
1,11266664,11132,-0.313043,1.930435
1,977360,16153,0.0033,0.052805
1,209426,10306,0.02439,0.02439
1,115940,4769,0.214286,0.228571
1,18189898,3744,0.553846,1.215385
1,3773970,1072110,1.533333,1.653333
1,405117,20977,0.066667,0.1
1,8795245,72323,0.385357,0.535714
1,1745700,32580,0.15,0.166667
1,75376,10800,0.294411,0.319796
1,274377,67851,0.148148,0.148148
1,28944,9670,0.625,1.25
1,276799,47418,0.042553,0.106383
1,1199646,1535,2.5,6.35
1,858659,39522,0.07381,0.119048
1,138168,1680,0.192157,0.996078
1,1002918,8484,0.163636,0.218182
1,17550,3448,0.055556,0.077778
1,216126,8753,0.075949,0.126582
1,201293,5792,0.25,0.383333
1,614831,59273,0.102273,0.113637
1,265837,53000,0.054545,0.109091
1,134499,3207,0.407411,0.407411
1,384423,3060,1.40625,2.6875
1,8480280,2175,0.228916,0.26506
1,199971,39116,0.595,0.7745
1,122535,3238,0,0.300001
1,168360,19750,0.095238,0.206349
1,919925,331700,0.265306,0.285714
1,2733739,18520,1.045454,1.060606
1,206693,67125,0.058333,0.066667
1,647213,170078,0.92,0.92
0,258587,228013,0,0.067308
0,386718,86214,0,0.230769
0,305216,480760,0.013575,0.113122
0,781200,4489524,-0.003953,0
0,248400,317130,-0.000666,0.062625
